Rezept-ID;Rezeptname;Bild;Zubereitung;Zutat 1;Menge 1;Zutat 2;Menge 2;Zutat 3;Menge 3;Zutat 4;Menge 4;Zutat 5;Menge 5;Zutat 6;Menge 6;Zutat 7;Menge 7;Zutat 8;Menge 8;Zutat 9;Menge 9;Zutat 10;Menge 10;Zutat 11;Menge 11;Zutat 12;Menge 12;Zutat 13;Menge 13;Zutat 14;Menge 14;Zutat 15;Menge 15;Zutat 16;Menge 16;Zutat 17;Menge 17;Zutat 18;Menge 18;Zutat 19;Menge 19;Zutat 20;Menge 20;ganzes Rezept;Inhalt;Rezept-Beschreibung;Zubereitungszeit;Schwierigkeitsgrad;Hauptkategorie;Unterkategorie 1;tags;Tipps;Link, Quelle
11;Kartoffel-Möhren Eintopf mit Hackfleischklößchen;;"Für 4 Portionen:
1. Die Möhren und die Kartoffeln schälen und klein schneiden. 
2. Das Hackfleisch mit Ei und Paniermehl verkneten und daraus kleine Bällchen formen.
3. Öl in einem Topf erhitzen und die Fleischbällchen darin rundum braun braten und herausnehmen.
4. Nun Möhren und Kartoffeln im Bratfett kurz anschwitzen. Mit Salz und Pfeffer würzen. Currypulver und Mehl darüber streuen und anschwitzen. Mit knapp 1 l Wasser und Sahne unter Rühren ablöschen. 5. Die Brühe zugeben und darin auflösen. Alles zugedeckt bei mittlerer Hitze ca. 15 bis 20 Min. garen.
6. Die Mettbällchen nach ca. 15 Min. zugeben und erhitzen. Nach Bedarf abschmecken. Die Petersilie darüber streuen und heiß servieren.";Möhren;150 g;Kartoffeln;250 g;Hackfleisch;100 g;Eier;0.25;Paniermehl;0.5 EL;Öl;0.25 EL;Salz, Pfeffer;;Currypulver;0.25 TL;Mehl;0.5 EL;Sahne;50 g;Gemüsebrühe;0.5 TL;"Petersilie
(gehackt)";0.25 EL;Wasser;250 ml;;;;;;;;;;;;;;;;Laktose,Gluten,Weizen;;30;einfach;Mittagessen;Pasta & Co;Mittagessen,Pasta & Co,Herzhaft;;https://www.chefkoch.de/rezepte/1091931215183180/Kartoffel-Moehren-Eintopf-mit-Hackfleischkloesschen.html?portionen=1
12;Linseneintopf;;"1. Das Olivenöl in einem Topf erhitzen, die Zwiebel darin goldbraun dünsten. Den Lauch und die Möhren dazugeben und etwa 1 Minute mitdünsten. Die eingeweichten Linsen abgießen.
2. Etwa 1 Liter Wasser, die Gemüsebrühe und die Linsen dazugeben und alles zugedeckt bei mittlerer Hitze köcheln lassen, bis die Linsen weich sind. Dabei auf die Packungsangabe der Linsen achten.
3. Den Eintopf mit Salz und Pfeffer würzen, abschmecken – Guten Appetit!
4. Nach Belieben die Wiener Würstchen in kleine Stücke schneiden, hinzugeben und für ein paar Minuten mit erwärmen.";Karotten;0.5;Lauch;0.3 Stange;Linsen;75 g;große Zwiebel;0.3;Brühe;0.3 EL;Olivenöl;0.3 EL;Wiener Würstchen;1;Salz, Pfeffer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;einfach;Mittagessen;Pasta & Co;Mittagessen,Pasta & Co,Herzhaft;;https://frechefreunde.de/rezepte-fuer-kinder/laras-linseneintopf-rezept/
13;Pinguin Chili Con Carne;;"1. Bohnen in einem Sieb abspülen, abtropfen lassen. 8 kleine Bohnenkerne zum Verzieren beiseitelegen. Zwiebel und Knoblauch schälen und fein würfeln. Öl in einer großen Pfanne erhitzen, Hack darin krümelig anbraten.
2. Zwiebeln und Knoblauch dazugeben und kurz mitbraten.
3. Tomatenmark einrühren, kurz anschwitzen, mit Kakao bestäuben, unterrühren. Mit Brühe und Cola ablöschen. Bohnen dazugeben, mit Salz, Pfeffer und Paprika würzen. Bei schwacher Hitze ca. 5 Minuten unter mehrmaligem Rühren köcheln lassen.
4. Inzwischen aus dem mittelalten Gouda 4 Kreise (à ca. 7cm Ø) ausstechen. Aus dem Ziegenkäse mit einem Ausstecher 8 Kreise (à ca. 3 cm Ø) ausstechen. Aus dem Cheddar mit einem Herzausstecher 8 kleine Herzen ausstechen sowie 4 kleine Dreiecke ausschneiden.
5. Chili con Carne mit Salz, Pfeffer, Zucker und Paprika abschmecken, in Schüsseln füllen. Aus den einzelnen Käsestücken auf das Chili Pinguine zusammensetzen. Käse mit Bohnen als Augen verzieren.";Kidneybohnen;40 ml;Zwiebel;0.33;Knoblauchzehe;0.2;Öl;0.33 EL;Rinderhackfleisch;60 g;Tomatenmark;0.33 EL;Kakaopulver;0.33 EL;Rinderbrühe;30 ml;Cola;30 ml;Edelsüß-Paprika;0.1 EL;Gouda;1 Scheibe;Ziegenkäsegouda;0.33 Scheibe;Cheddar;30 g;Edelsüß-Paprika;0.1 EL;Gouda;2 Scheiben;;;;;;;;;;;;Laktose,Halal;;30;einfach;Mittagessen;Fleisch;Mittagessen,Fleisch,Laktose,Halal,Herzhaft;;https://www.lecker.de/chili-con-carne-mit-kaese-pinguin-60791.html
14;Arabisches Hackfleisch mit Pellkartoffeln;;"1. Rinderhackfleisch mit gewürfelten Zwiebeln in Öl anbraten.
2. Mit Salz, Pfeffer und Paprika abschmecken.
3. Tomaten, Paprika und Äpfel in Stücke schneiden und zusammen mit den grünen Bohnen zum Fleisch geben. Etwa 10 Minuten garen.
4. Mit Schältomaten auffüllen, ca. 5 Minuten köcheln lassen, nochmals würzen und ganz mild mit Meerettich abschmecken.
5. Kartoffeln waschen und mit der Schale kochen.";Hackfleisch;50 g;Zwiebel;8 g;Rapsöl;2.5 ml;Salz, Pfeffer;;Paprikapulver;;Tomate;30 g;Paprikaschoten;40 g;Äpfel;20 g;"Tomaten
(Konserve)";60 g;Bohnen;30 g;Meerrettich;;"Kartoffeln
(festkochend)";120 g;;;;;;;;;;;;;;;;;;Halal;;30;einfach;Mittagessen;Fleisch;Mittagessen,Fleisch,Halal,Herzhaft;;https://www.fitkid-aktion.de/rezepte/rezeptdatenbank/?tx_wwrecipe_fe1%5Brecipe%5D=504&tx_wwrecipe_fe1%5Baction%5D=show&tx_wwrecipe_fe1%5Bcontroller%5D=Recipe&cHash=1f18509aa4d1ccdcb18db2615f86f95b
15;Geflügelwürstchen mit Spitzkohl und Kartoffelpüree;;"1. Die Geflügelwürstchen in heißem Öl braten.
2. Für das Spitzkohlgemüse die Zwiebeln würfeln und in Öl andünsten. Den Spitzkohl in Streifen schneiden, zu den Zwiebeln hinzufügen, mit Brühe ablöschen und ca.10 Minuten garen.
3. Saure Sahne unterrühren und mit Senf, Salz und Pfeffer abschmecken.
4. Für das Kartoffelpüree die gegarten Kartoffeln noch heiß mit einer Kartoffelpresse oder einem Kartoffelstampfer zerkleinern und mit Milch, Salz und Muskatnuss zu einem cremigen Püree verarbeiten.";"Kartoffeln
(mehligkochend)";140 g;"Milch
(1,5% Fett)";35 ml;Salz, Pfeffer;;Muskatnuß;;kleine Geflügelwürstchen;70 g;Rapsöl;6 ml;Zwiebeln;15 g;Spitzkohl;100 g;Gemüsebrühe;20 ml;Saure Sahne;25 ml;Senf;1 g;;;;;;;;;;;;;;;;;;;;Laktose,Nüsse,Halal;;45;einfach;Mittagessen;Fleisch;Mittagessen,Fleisch,Laktose,Nüsse,Halal,Herzhaft;;
16;Gefüllte Paprikaschoten mit Reis und Hackfleisch;;"1. Paprikadeckel abschneiden. Paprikaschote aushöhlen und abwaschen.
2. Für die Hackfleisch-Reis-Füllung Reis kochen, Zwiebel und Knoblauch schälen, klein würfeln und beides in der Pfanne anschwitzen.
3. Hackfleisch mit dem Reis, der angebratenen Zwiebel-Knoblauch-Mischung und den Eiern mischen. Mit Salz und Pfeffer kräftig würzen.
4. Papkrikaschote mit der Hackfelischmasse füllen.
5. Paprika kurz kräftig anbraten und danach mit etwas Wasser für etwa 1 Stunde in den vorgeheizten Ofen (160°C) schieben und darin schmoren lassen. Paprikadecker nach der Hälfte der Zeit hinzufügen.
6. Bratensaft mit etwas Tomatenmark, Soßenbinder und Creme Fraiche zu einer Soße anrühren.";Paprikaschote;1;Hackfleisch;125 g;Reis;50 g;Zwiebel;0.16;Knoblauchzehe;1;EI;0.5;Creme Fraiche, Pfeffer, Salz, Tomatenmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Laktose;;80;einfach;Mittagessen;Fleisch;Mittagessen,Fleisch,Laktose,Herzhaft;;https://www.familienkost.de/rezept_gefuellte_paprikaschoten_mit_reis_und_hackfleisch.html
17;Hackbraten mit Gemüse;;"1. Den Backofen auf 190 Grad Umluft vorheizen. Die Karotte und die Zucchini mit einer feinen Reibe raspeln. Die geraspelten Zucchini gut ausdrücken, um das überschüssige Wasser zu entfernen. Die Zwiebel schälen und in sehr feine Würfel schneiden. Die Petersilie hacken.
2. Alle Zutaten gut miteinander vermengen. Die Masse dafür am besten mit den Händen kneten und anschließend zu einem Quader formen.
3. Eine Pfanne mit etwas Olivenöl erhitzen. Den Hackbraten von allen Seiten scharf anbraten und anschließend in eine Auflauf- oder Backform geben. Mit dem Bratfett übergießen und in den Backofen schieben. Für etwa 45 Minuten im Backofen garen.
4. Die Tomaten waschen und zusammen mit dem Knoblauch in eine Auflaufform geben. Mit etwa 3-4 EL Olivenöl beträufeln. Nach belieben salzen & pfeffern und für etwa 20 Minuten in den Backofen geben. Anschließend zu einer Sauce pürieren.
5. Die Tomatennudeln nach Anleitung kochen und zusammen mit der Sauce und dem Hackbraten servieren.";große Karotte;0.3;Zucchini;0.3;Petersilie;0.3 Bund;Schnittlauch;0.3 EL;Zwiebel;0.3;Tomatennudeln;75 g;Semmelbrösel;25 g;Ei;0.3;Tomatenmark;0.3 EL;Rinderhackfleisch;100 g;Kirschtomaten;62.5 g;Olivenöl;0.8 EL;Knoblauchzehen;0.5;Salz, Pfeffer;;;;;;;;;;;;;;;Weizen,Gluten,Halal;;60;einfach;Mittagessen;Fleisch;Mittagessen,Fleisch,Gluten,Weizen,Herzhaft;;https://frechefreunde.de/rezepte-fuer-kinder/hackbraten-mit-gemuese/
18;Hack-Würstchen-Schildkröten mit Salat und Süßkartoffel-Fritten;;"1. Zitrone heiß waschen, trocken reiben, Schale fein abraspeln und Saft auspressen. Zucker mit Zitronensaft und -schale verrühren. Zugedeckt beiseitestellen. Weißbrot entrinden und in Wasser einweichen.
2. Inzwischen Majoran waschen, trocken schütteln und fein hacken. Zwiebel schälen und fein würfeln. Öl in einer Pfanne erhitzen. Zwiebelwürfel darin unter Wenden farblos dünsten, aus der Pfanne nehmen. Weißbrot gründlich ausdrücken. Hack mit Zwiebel, Majoran, Brot, Senf und Paprika verkneten. Kräftig mit Salz und Pfeffer würzen. Zugedeckt kalt stellen.
3. 4 Würstchen jeweils quer und längs halbieren, so dass pro Wurst 4 gleichgroße Stücke entstehen. Übrige Würste halbieren. Die Enden der 4 Wursthälften ca. 1 cm tief einschneiden (Maul). Mit einem Holzspieß für die Augen 2 Löcher vorstechen und je ein Pfefferkorn hineinstecken.
4. Aus der Hackmasse 4 ovale Frikadellen formen. Je 4 Wurststücke mit der Schnittfläche nach unten als Beine x-förmig auf ein mit Backpapier ausgelegtes Backblech legen. Frikadellen jeweils als Körper daraufsetzen. Kopfteile aus Wurst in den Frikadellenkörper stecken.
5. Blätterteig antauen lassen und auf einer bemehlten Arbeitsfläche etwas dünner ausrollen. In ca. 24 schmale Streifen à ca. 6 cm Länge schneiden. Je 6 Streifen gitterartig als Panzer auf jede Frikadelle legen und leicht andrücken. Im vorgeheizten Backofen 15–20 Minuten backen. Eventuell mit Folie bedecken.
6. Inzwischen Salat putzen, waschen, trocken schleudern und in feine Streifen schneiden. Kartoffeln schälen, waschen, trocken reiben und in schmale Spalten schneiden. Fett in einem weiten Topf erhitzen. Kartoffelspalten darin portionsweise knusprig frittieren, herausheben und auf Küchenpapier abtropfen lassen. Mit Salz und Curry bestreuen. Schildkröten aus dem Ofen nehmen, mit Salat, Zitronen-Vinaigrette und Süßkartoffel-Fritten auf Tellern anrichten.



















";Bio-Zitrone;0.125;Zucker;0.25 EL;Weißbrot;10 g;Majoran;0.75 Stiele;Zwiebel;0.25;Öl;0.5 EL;gem. Hackfleisch;112.5 g;mittelscharfer Senf;0.25 TL;Edelsüß-Paprika;0.25 TL;Wiener Würstchen;40 g;schwarze Pfefferkörner;2;Blätterteigplatte (tiefgefroren);25 g;Kopfsalat;25 g;Süßkartoffeln;100 g;Frittierfett;250 ml;Currypulver;0.25 TL;Mehl, Pfeffer, Salz;;Alufolie, Backpapier, Holzspieß;;;;;;;Gluten,Weizen;;50;einfach;Mittagessen;Fleisch;Mittagessen,Fleisch,Gluten,Weizen,Herzhaft,Kartoffel;;https://www.lecker.de/hack-wuerstchen-schildkroeten-mit-salat-und-suesskartoffel-fritten-71984.html
19;Hähnchen-Nuggets;;"1. Das Filet in Streifen oder Würfel schneiden, mit Salz und Pfeffer würzen und im Mehl wenden. Ei in einem Teller mit 2 EL Wasser verquirlen. In einem weiteren Teller zerbröselte Cornflakes mit Haferflocken und Sesam mischen.
2. Die Hähnchen-Streifen durch das Ei ziehen und danach in der Cornflakes-Mischung wenden. In einer Pfanne im erhitzten Fett von beiden Seiten goldbraun braten. Alternativ im Backofen auf mittlerer Schiene bei 180 Grad Heißluft ca. 15 - 20 Minuten backen.";Hähnchenfilet;beliebige Menge;Eier;0.25;Cornflakes;1.25 EL;Haferflocken;0.5 EL;Sesamkörner;0.25 EL;Salz, Pfeffer;;Butterschmalz;1 EL;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gluten,Weizen,Halal;;30;einfach;Mittagessen;Fleisch;Mittagessen,Fleisch,Gluten,Weizen,Halal,Herzhaft;;https://6f190cb6bcf7baa99edf86a25618b4821cd75825.plentymarkets-cloud-de.com/plenty/terra/order/order-search
20;Nudeln mit Tomatensoße und Fleischwurst;;"1. Wurst in Scheiben schneiden. 1 EL Butter in einer Pfanne erhitzen und Wurst darin ca. 4 Minuten braten. 1 EL Butter in einem Topf schmelzen, mit Mehl bestäuben, kurz anschwitzen
2. Milch und Brühe unter Rühren dazugeben, unter Rühren aufkochen und ca. 5 Minuten köcheln.
3. Inzwischen Nudeln in kochendem Salzwasser nach Packungsanweisung zubereiten. Tomatenmark in die Soße rühren, mit Salz und Zucker abschmecken. Tomaten waschen, putzen, würfeln und in die Soße geben. 4. Nudeln abgießen, kurz abtropfen lassen, zurück in den Topf geben. Soße und Wurst dazugeben und unterheben.";Fleischwurst;25 g;Butter;0.5 EL;Mehl;0.25 EL;Milch;0.125 l;Gemüsebrühe;125 ml;Spaghetti;65 g;Tomatenmark;15 g;Tomaten;25 g;Salz, Zucker;;;;;;;;;;;;;;;;;;;;;;;;;Laktose,Gluten,Weizen;;25;einfach;Mittagessen;Pasta & Co;Mittagessen,Pasta & Co,Fleisch,Laktose,Gluten,Weizen,Herzhaft;;https://www.lecker.de/nudeln-mit-tomatensosse-und-fleischwurst-75800.html
21;Überbackene Frikadellen in Tomatensoße;;"1. Für die Frikadellen Semmelbrösel und Milch verrühren. Parmesan fein reiben. 1 Zwiebel und Knoblauch schälen, würfeln. Hack, Semmelbrösel, Ei, Zwiebel, Senf, Parmesan, Kräuter, 1 gestrichenen TL Salz und 1⁄2 TL Pfeffer verkneten.
2. Frikadellen formen. 2 EL Öl in einer großen ofenfesten Pfanne erhitzen. Frikadellen darin von jeder Seite 6–8 Minuten braten.
3. Für die Tomatensoße 1 Zwiebel schälen und fein würfeln. Frikadellen aus der Pfanne nehmen. Pfanne mit Küchenpapier auswischen. 1 EL Öl erhitzen, Zwiebel darin andünsten. Tomaten zugeben, etwas zerkleinern und aufkochen.
4. Ca. 10 Minuten köcheln. Mit Salz, Pfeffer, 1 TL Zucker und Essig abschmecken. Inzwischen Backofen vorheizen (E-Herd: 200 °C/Umluft: 175 °C/Gas: s. Hersteller). Mozzarella in dünne Scheiben schneiden.
5. Frikadellen in die Soße legen, Käse darauf verteilen und im heißen Ofen ca. 15 Minuten überbacken. Dazu: Nudeln.";Semmelbrösel;0.75 EL;Milch;0.75 EL;Parmesan;15 g;Zwiebeln;0.5;Knoblauchzehe;0.25;gemischtes Hack;125 g;Ei;0.25;mittelscharfer Senf;0.25 TL;getrocknete italienische Kräuter;0.25 TL;Olivenöl;0.75 EL;große Dose Tomaten;212.5 ml;Balsamico-Essig;0.25;Mozarella;30 g;Pfeffer, Salz, Zucker;;;;;;;;;;;;;;;Laktose,Gluten,Weizen;;60;einfach;Mittagessen;Fleisch;Mittagessen,Fleisch,Laktose,Gluten,Weizen,Herzhaft;;https://www.lecker.de/ueberbackene-frikadellen-tomatensosse-68059.html
22;Würstchen-Kartoffelpüree-Spinne auf Spinat;;"1. Kartoffeln schälen, waschen und in kochendem Salzwasser 20–25 Minuten garen. Spinat unaufgetaut in einen Topf geben und bei schwacher Hitze unter mehrmaligem Rühren ca. 20 Minuten erwärmen.
2. Kurz aufkochen lassen. Tomate waschen, vierteln und entkernen. Würstchen längs halbieren. Öl in einer großen Pfanne erhitzen, Würstchen darin unter Wenden 2–3 Minuten braten. (Vorsichtig, da es sehr spritzt.) Milch und Butter in einem kleinen Topf erwärmen.
3. Kartoffeln abgießen, Milch-Buttermischung zufügen und alles mit einem Kartoffelstampfer zerstampfen. Mit Salz und Muskat abschmecken. Schnittlauch waschen, trocken schütteln und in 4 Streifen schneiden.
4. Spinat auf Tellern verteilen. Mit Hilfe eines Esslöffels Kartoffelpüree als Körper auf den Spinat setzen. Mit einem Teelöffel Kartoffelpüree als Kopf ansetzen und mit Kirschtomatenviertel, Schnittlauch und Sonnenblumenkernen garnieren.
5. Je 8 Würstchenhälften (vorsichtig heiß!) als Beine an den Körper setzen.";Kartoffel;250 g;Rahmspinat;225 g;Kirschtomate;0.25;Nürnberger Rostbratwürstchen;4;Öl;0.5;Milch;50 ml;Butter;6 g;Schnittlauchhalm;0.25;Sonnenblumenkerne;2;Muskatnuss (gerieben), Salz;;;;;;;;;;;;;;;;;;;;;;;Laktose;;40;einfach;Mittagessen;Fleisch;Mittagessen,Fleisch,Laktose,Herzhaft,Kartoffel;;https://www.lecker.de/wuerstchen-kartoffelpueree-spinne-auf-spinat-24754.html
23;Dinkelvollkornbrot;;"1. Mehl abwiegen, zusammen mit Trockenhefe in eine Schüssel geben und mit Kochlöffel unterrühren.
2. Kerne abwiegen und in die Schüssel geben.
3. Rühren und dabei lauwarmes Wasser und den Apfelessig sowie das Salz hinzufügen.
4. Teig etwas gehen lassen. Halbe Stunde ist genug, mehrere Stunden besser. Dabei ein sauberes Tuch über die Schüssel legen und den Teig an einen warmen, zugfreien Ort stellen.
5. Backblech oder Kastenform mit weicher Butter einfetten und Arbeitsfläche mit Mehr bestreuen. Teig aus der Schüssel nehmen und noch einmal durchkneten.
6. Teig in die gefetteten Formen füllen und auf dem Blech in ein bis zwei Brotlaibe teilen.
7.- Backofen auf 220°C vorheizen und Blech hineinschieben. Ofen nach 50 Minuten ausschalten und 15 Minuten später aus dem Ofen nehmen.";Dinkelvollkornmehl;1000 g;Trockenhefe;2 Päckchen;warmes Wasser;1 l;Apfelessig;5 EL;Salz;1-2 TL;Kürbiskerne;65 g;Sonnenblumen-kerne;125 g;weiche Butter;;;;;;;;;;;;;;;;;;;;;;;;;;x;Gluten,Weizen,Halal;;80;mittel;Frühstück;Backen;Frühstück,Backen,Gluten,Weizen,Halal,Brot;;"""Das Kita-Kinder-Kochbuch"", S.18/19"
24;Müsli-Mix-Buffet;;"1. Jedes Kind nimmt sich, je nach eigenem Geschmack, 3-5 EL Müsli und gibt etwas Milch dazu. So können die Körner aufquellen, während die Kinder die anderen Zutaten vorbereiten.
2. Obst waschen und klein schneiden und in unterschiedliche Schüsseln legen. Damit es nicht braun wird, ein paar Tropfen Zitrone darüber träufeln.
3. Rosinen, Trockenfrüchte, Haferflocken Joghurt und Nüsse in unterschiedliche Schüsseln geben.
4. Anschließend alle Schüsseln wie ein Buffet auf einen Tisch stellen, sodass sich jeder sein Müsli zusammenstellen kann.";Milch;2000-3000 ml;"Joghurt
(3,5% Fett)";1000 g;Bio-6-Korn-Müsli;1 Pck.;Haferflocken;1 Pck.;Obst;je nach Vorliebe;Zitrone;1;Rosinen, Trockenfrüchte;;Nüsse;Walnüsse, Haselnüsse, Erdnüsse, Mandeln;Agavensirup;1-2 TL;;;;;;;;;;;;;;;;;;;;;;;x;Laktose,Gluten,Weizen,Nüsse,Halal;;10;einfach;Frühstück,Nachtisch/Snack;Schnelle Rezepte,Süßes;Frühstück,Nachtisch/Snack,Schnelle Rezepte,Süßes,Laktose,Gluten,Weizen,Nüsse,Halal,Süß,Obst;Einige Kinder vertragen keine Milch. Für Kinder, die an einer Lactose-Intoleranz leiden, können Sie auf lactosefreie Milch zurückgreifen. Verträgt ein Kind andere Stoffe der Milch nicht, oder mag es einfach keine Milch, kann es sich das Müsli auch mit Apfelsaft zubereiten.;"""Das Kita-Kinder-Kochbuch"", S.30/31"
25;Osterzopf;;"1. Die Milch leicht erwärmen. Hefewürfel anschließend in die Milch bröckeln und einen Teelöffel Zucker hineinrühren. Eine Tasse Mehl hineingeben und die Masse zu einem Brei rühren. Diesen stellen Sie anschließend zur Seite.
2. Butter, Zucker abwiegen und zusammen mit dem Salz und den Eiern in eine neue Schüssel geben und mit einem Schneebesen oder Mixer durchrühren.
3. Vanilleschote vorsichtig der Länge nach aufschneiden, indem Sie sie flach auf die Arbeitsfläche legen und mit dem Messer einmal hindurch, von einem Ende zum anderen, fahren. Als nächstes das Mark aus der Vanilleschote lösen und in die Schüssel geben.
Falls Sie keine Vanilleschote haben, schütten Sie den Vanillezucker in die Schüssel.
4. Zitrone gründlich abwaschen, etwa die Hälfte der Zitronenschale abreiben und in die Schüssel geben.
5. Die angesetzte Hefe hat inzwischen Blasen geworfen und ist zu einem weichen Brei geworden. Den Hefebrei nun zu der Masse schütten und nach und nach das restliche Mehl dazugeben.
6. Dann alles mit den Knethaken des Mixers kräftig durchkneten.
7. Danach ein sauberes Tuch über die Schüssel legen und den Teig mindestens eine halbe Stunde, besser eine oder mehrere Stunden, an einem warmen Ort gehen lassen, sodass er sich verdoppeln kann.
8. Nach der Ruhezeit den Teig nochmals kräftig durchkneten und in 3 gleich große Teile teilen. Anschließend zu gleich langen Strängen formen. Gegebenfalls Rosinen in den Teig stecken.
9. Die Teigstränge werden nun auf das Blech mit Backpapier gelegt und an einem Ende zusammengedrückt, sodass sie fest verbunden sind. Danach die Stränge wie einen Zopf flechten. Dieser Zopf kann in gerader Form gebacken oder aber rund gelegt werden, wie ein Zopfkuchen oder Kranz.
Vor dem Backen den Zopf noch einmal 30-60 Minuten ruhen und gehen lassen.
10. Abschließend streichen Sie etwas Milch mit einem Pinsel oder Teelöfel auf den Kranz und stecken Mandelsplitter auf den Zopf.
11. Heizen Sie den Ofen, auf ca. 180°C vor. Schieben Sie den Zopf in den Ofen und lassen Sie ihn etwa 25-35 Minuten backen.";Milch;400 ml;Hefe;70 g;Zucker;100 g;Mehl;1000 g;Butter;200 g;Eier;5;Vanilleschote / Vanillezucker;"1 Schote /
2 Tüten";unbehandelte Zitrone;1;Mandelstifte;30 g;Rosinen;250 g;Butter, Salz;;;;;;;;;;;;;;;;;;;;x;Laktose,Gluten,Weizen,Nüsse,Halal;;120;mittel;Frühstück,Anlässe;Backen,Ostern;Frühstück,Anlässe,Backen,Ostern,Laktose,Gluten,Weizen,Nüsse,Halal;;"""Das Kita-Kinder-Kochbuch"", S.36/37"
26;schnelle Quarkbrötchen;;"1. Mehl abwiegen und zusammen mit dem Backpulver in eine Schüssel sieben.
Anschließend den Quark, die Butter und das Salz dazugeben und mit einem Handrührgerät zu einem glatten Teig rühren.
2. Die Hände mit Mehl bestäuben und den Teig leicht durchkneten und daraus eine lange Rolle mit etwa vier bis sechs Zentimeter Durchmesser formen.
3. Die Rolle mit einem Messer in zehn bis zwölf Teile schneiden.
4. Aus den Teigteilen kleine Brötchen formen und diese anschließend auf einem Backblech mit Backpapier legen.
5. Nun die Teigteilchen mit einem Backpinsel und etwas Wasser bestreichen und ggf. mit verschiedenen Körnern bestreuen.
6. Den Ofen auf 180°C vorheizen und die Brötchen etwa 20 Minuten aufbacken.";Vollkornmehl (Weizen/Dinkel);300 g;Backpulver;3 TL;Kräutersalz oder Meersalz;1 TL;Magerquark;250 g;weiche Butter;50 g;etwas Öl und Wasser;;nach Belieben Sesam und Mohn;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;Gluten,Weizen,Halal;;45;einfach;Frühstück;Backen;Frühstück,Backen,Gluten,Weizen,Halal,Brot;;"""Das Kita-Kinder-Kochbuch"", S.20/21"
27;Gemüse-Kartoffel-Auflauf;;"1. Für den Auflauf die Zwiebelwürfel und zerkleinerten Knoblauch in der Hälfte des Öls anbraten.
2. Karottenscheiben und Brokkoliröschen hinzufügen, mit Gemüsebrühe angießen und das Gemüse etwa 3 Minuten dünsten. Mit Salz und Pfeffer würzen.
3. Die gegarten Kartoffeln in Würfel oder Scheiben schneiden und abwechselnd mit dem Gemüse in eine mit dem restlichen Öl eingefettete Auflaufform schichten.
4. Die Milch mit den Eiern verquirlen, würzen und über den Auflauf geben.
5. Mit geriebenem Käse bestreuen und im Ofen bei 200°C etwa 30 Minuten backen.";Zwiebeln;8 g;Knoblauchzehe;0.1;Rapsöl;4 ml;Karotten;50 g;Brokkoli;50 g;Gemüsebrühe;20 ml;Kartoffeln;140 g;Milch (1,5 % Fett);20 ml;Eier;0.2;Gouda;15 g;Pfeffer, Salz;;;;;;;;;;;;;;;;;;;;;Laktose,Halal;;45;einfach;Mittagessen;Vegetarisch;Mittagessen,Vegetarisch,Laktose,Halal,Herzhaft,Kartoffel;;https://www.fitkid-aktion.de/rezepte/rezeptdatenbank/?tx_wwrecipe_fe1%5Brecipe%5D=551&tx_wwrecipe_fe1%5Baction%5D=show&tx_wwrecipe_fe1%5Bcontroller%5D=Recipe&cHash=301daf26d47d7d836f0dfa7a7eb194ae
28;Ofenkartoffel mit Kräuterquark;;"1. Die Kartoffeln gründlich in kaltem Wasser waschen und bürsten.
2. 4 Bögen Alufolie in der Mitte leicht mit Öl bestreichen. Die Kartoffeln mit jeweils einem Zweig Rosmarin und Thymian in die Folie wickeln. Die Kartoffelpakete auf einem Backblech in den auf 200 Grad vorgeheizten Backofen schieben und 40-60 Minuten backen. Wenn man problemlos ein Holzspießchen in die Kartoffeln stechen kann, sind sie gar.
3. In der Zwischenzeit den Quark mit so viel Milch verrühren, dass eine dickflüssige Creme entsteht. Die Quarkcreme mit Salz und Pfeffer abschmecken und den Schnittlauch unterrühren.
4. Die Kartoffeln auf Teller legen, die Folie öffnen, die Kartoffeln mit einer Gabel aufbrechen und die Quarkcreme in die Kartoffeln füllen.";Kartoffel;1;Rosmarin;0.5 Zweige;Thymian;1 Zweig;Quark;62.5 g;Milch;;Salz, Pfeffer;;"Schnittlauch
(in Röllchen)";0.5 EL;;;;;;;;;;;;;;;;;;;;;;;;;;;;Laktose,Halal;;50;einfach;Mittagessen;Vegetarisch;Mittagessen,Vegetarisch,Laktose,Halal,Herzhaft,Kartoffel;;https://www.chefkoch.de/rezepte/1577491265273347/Folienkartoffeln-mit-Kraeuterquark.html?portionen=1
